Academic Yr,Semester Year Letter Cd Concat,Semester Nm,Degree Level Desc,Ucb Level1 Ethnic Rollup Desc,Ucb Level2 Ethnic Rollup Desc,Short Ethnic Desc,Gender Desc,Student Headcount,Prorated Degrees Awarded Cnt,College/School,Division,Department,Major
2014-15,2014 C,Summer,Bachelor,Asian/Pacific Islander,Asian,South Asian,Male,3,3,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 C,Summer,Bachelor,Asian/Pacific Islander,Asian,South Asian,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,EECS/MSE Joint Major
2014-15,2014 C,Summer,Bachelor,Asian/Pacific Islander,Asian,Vietnamese,Female,1,1,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2014 C,Summer,Bachelor,International,International,International,Female,1,1,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 C,Summer,Bachelor,International,International,International,Female,1,1,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2014 C,Summer,Bachelor,International,International,International,Male,1,1,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2014 C,Summer,Bachelor,International,International,International,Male,2,2,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 C,Summer,Bachelor,International,International,International,Male,7,7,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 C,Summer,Bachelor,International,International,International,Male,2,2,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng
2014-15,2014 C,Summer,Bachelor,International,International,International,Male,4,4,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2014 C,Summer,Bachelor,Underrepresented Minority,African American,African American/Black,Male,1,1,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2014 C,Summer,Bachelor,Underrepresented Minority,African American,African American/Black,Male,1,1,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 C,Summer,Bachelor,Underrepresented Minority,Chicano/Latino,Mexican American/Chicano,Female,1,1,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2014 C,Summer,Bachelor,Underrepresented Minority,Chicano/Latino,Mexican American/Chicano,Female,1,1,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering
2014-15,2014 C,Summer,Bachelor,Underrepresented Minority,Chicano/Latino,Other Hispanic/Latino,Male,2,2,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 C,Summer,Bachelor,White/Other,Decline to State,Decline to State,Female,1,1,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 C,Summer,Bachelor,White/Other,Decline to State,Decline to State,Male,1,1,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2014 C,Summer,Bachelor,White/Other,Decline to State,Decline to State,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,MSE/ME Joint Major
2014-15,2014 C,Summer,Bachelor,White/Other,Decline to State,Decline to State,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Science,Environmental Eng Science
2014-15,2014 C,Summer,Bachelor,White/Other,White,White,Male,2,2,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 C,Summer,Bachelor,White/Other,White,White,Male,2,2,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 C,Summer,Bachelor,White/Other,White,White,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,EECS/MSE Joint Major
2014-15,2014 C,Summer,Bachelor,White/Other,White,White,Male,1,1,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2014 C,Summer,Bachelor,White/Other,White,White,Male,1,1,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,3,3,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,5,5,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,1,1,Clg of Engineering,Clg of Engineering,Engineering Science,Energy Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,1,1,Clg of Engineering,Clg of Engineering,Engineering Science,Environmental Eng Science
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,1,1,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,5,4.5,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,24,23.5,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,1,1,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,5,5,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,1,1,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Filipino,Male,1,1,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Filipino,Male,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Filipino,Male,1,1,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Japanese,Female,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,BioE/MSE Joint Major
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Japanese,Male,1,1,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Korean,Female,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Korean,Female,1,1,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Korean,Male,2,2,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Korean,Male,2,2,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Other Asian,Female,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Other Asian,Male,2,2,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Other Asian,Male,1,1,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,South Asian,Female,1,1,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,South Asian,Male,2,2,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,South Asian,Male,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,South Asian,Male,5,5,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,South Asian,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,ME/NE Joint Major
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,South Asian,Male,2,2,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Vietnamese,Male,2,2,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Vietnamese,Male,2,2,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Vietnamese,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,ME/NE Joint Major
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Asian,Vietnamese,Male,4,4,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2014 D,Fall,Bachelor,Asian/Pacific Islander,Pacific Islander,Pacific Islander,Male,1,1,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2014 D,Fall,Bachelor,International,International,International,Female,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 D,Fall,Bachelor,International,International,International,Female,1,1,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,International,International,International,Female,1,1,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2014 D,Fall,Bachelor,International,International,International,Female,1,1,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering
2014-15,2014 D,Fall,Bachelor,International,International,International,Male,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 D,Fall,Bachelor,International,International,International,Male,13,13,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,International,International,International,Male,2,2,Clg of Engineering,Clg of Engineering,Engineering Science,Eng Math & Statistics
2014-15,2014 D,Fall,Bachelor,International,International,International,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics
2014-15,2014 D,Fall,Bachelor,International,International,International,Male,2,2,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2014 D,Fall,Bachelor,International,International,International,Male,3,3,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2014 D,Fall,Bachelor,Underrepresented Minority,African American,African American/Black,Male,3,3,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,Underrepresented Minority,Chicano/Latino,Mexican American/Chicano,Male,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 D,Fall,Bachelor,Underrepresented Minority,Chicano/Latino,Mexican American/Chicano,Male,7,7,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2014 D,Fall,Bachelor,Underrepresented Minority,Chicano/Latino,Other Hispanic/Latino,Male,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 D,Fall,Bachelor,Underrepresented Minority,Chicano/Latino,Other Hispanic/Latino,Male,1,1,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,Underrepresented Minority,Chicano/Latino,Other Hispanic/Latino,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics
2014-15,2014 D,Fall,Bachelor,Underrepresented Minority,Chicano/Latino,Other Hispanic/Latino,Male,1,1,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng
2014-15,2014 D,Fall,Bachelor,Underrepresented Minority,Chicano/Latino,Other Hispanic/Latino,Male,2,2,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2014 D,Fall,Bachelor,Underrepresented Minority,Native American/Alaska Native,Native American/Alaska Native,Female,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 D,Fall,Bachelor,White/Other,Decline to State,Decline to State,Female,2,2,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2014 D,Fall,Bachelor,White/Other,Decline to State,Decline to State,Male,6,5.5,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,White/Other,Decline to State,Decline to State,Male,1,0.5,Clg of Engineering,Clg of Engineering,Engineering Science,Eng Math & Statistics
2014-15,2014 D,Fall,Bachelor,White/Other,Decline to State,Decline to State,Male,1,0.5,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics
2014-15,2014 D,Fall,Bachelor,White/Other,Decline to State,Decline to State,Male,1,0.5,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2014 D,Fall,Bachelor,White/Other,White,White,Female,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 D,Fall,Bachelor,White/Other,White,White,Female,1,1,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,White/Other,White,White,Female,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,ME/NE Joint Major
2014-15,2014 D,Fall,Bachelor,White/Other,White,White,Female,3,3,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2014 D,Fall,Bachelor,White/Other,White,White,Male,2,2,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2014 D,Fall,Bachelor,White/Other,White,White,Male,4,4,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2014 D,Fall,Bachelor,White/Other,White,White,Male,13,12.5,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2014 D,Fall,Bachelor,White/Other,White,White,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics
2014-15,2014 D,Fall,Bachelor,White/Other,White,White,Male,3,3,Clg of Engineering,Clg of Engineering,Engineering Science,Environmental Eng Science
2014-15,2014 D,Fall,Bachelor,White/Other,White,White,Male,1,0.5,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2014 D,Fall,Bachelor,White/Other,White,White,Male,23,22,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2014 D,Fall,Bachelor,White/Other,White,White,Male,1,1,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,8,8,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,2,2,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,8,8,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,BioE/MSE Joint Major
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,EECS/MSE Joint Major
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,1,1,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,2,2,Clg of Engineering,Clg of Engineering,Engineering Science,Environmental Eng Science
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,3,3,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Female,3,3,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,17,16.5,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,8,8,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,76,75.5,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,EECS/MSE Joint Major
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,2,2,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,MSE/ME Joint Major
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Science,Eng Math & Statistics
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,2,2,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Science,Environmental Eng Science
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,5,5,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,5,5,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Chinese,Male,18,18,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Filipino,Female,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Filipino,Female,1,1,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Filipino,Male,2,2,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Filipino,Male,1,1,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Filipino,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,MSE/ME Joint Major
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Filipino,Male,1,1,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Japanese,Female,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Japanese,Male,1,1,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Japanese,Male,7,7,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Japanese,Male,1,1,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Japanese,Male,1,1,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Korean,Female,4,4,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Korean,Female,1,1,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Korean,Male,6,6,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Korean,Male,2,2,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Korean,Male,7,7,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Other Asian,Male,2,2,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Other Asian,Male,2,2,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Other Asian,Male,1,1,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,Other Asian,Male,2,2,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,South Asian,Female,7,6.5,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,South Asian,Female,1,1,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,South Asian,Female,8,7.5,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,South Asian,Female,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,BioE/MSE Joint Major
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,South Asian,Female,1,1,Clg of Engineering,Clg of Engineering,Engineering Science,Environmental Eng Science
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,South Asian,Female,1,1,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,South Asian,Female,1,1,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,South Asian,Female,1,1,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,South Asian,Male,11,10,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,South Asian,Male,38,37,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,South Asian,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,BioE/MSE Joint Major
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,South Asian,Male,1,1,Clg of Engineering,Clg of Engineering,Engineering Joint Programs,ME/NE Joint Major
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,South Asian,Male,2,2,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch
2014-15,2015 B,Spring,Bachelor,Asian/Pacific Islander,Asian,South Asian,Male,1,1,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng
